timestamp,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges
2014-09-05T00:00:00Z,174.264852
2014-09-06T00:00:00Z,69.02299531
2014-09-07T00:00:00Z,184.7299858
2014-09-08T00:00:00Z,580.969027
2014-09-09T00:00:00Z,2138.038052
2014-09-10T00:00:00Z,3820.169442
2014-09-11T00:00:00Z,1435.7809
2014-09-12T00:00:00Z,1361.866509
2014-09-13T00:00:00Z,1273.820019
2014-09-14T00:00:00Z,204.4136206
2014-09-15T00:00:00Z,1781.414004
2014-09-16T00:00:00Z,279.0317322
2014-09-17T00:00:00Z,644.2760871
2014-09-18T00:00:00Z,4930.763957
2014-09-19T00:00:00Z,10630.01406
2014-09-20T00:00:00Z,3068.786568
2014-09-21T00:00:00Z,3264.937027
2014-09-22T00:00:00Z,1530.872832
2014-09-23T00:00:00Z,4323.78764
2014-09-24T00:00:00Z,2885.108362
2014-09-25T00:00:00Z,1371.064133
2014-09-26T00:00:00Z,159.1590356
2014-09-27T00:00:00Z,2539.678933
2014-09-28T00:00:00Z,3521.382908
2014-09-29T00:00:00Z,2612.21086
2014-09-30T00:00:00Z,2258.040444
2014-10-01T00:00:00Z,1312.546595
2014-10-02T00:00:00Z,1150.943107
2014-10-03T00:00:00Z,2693.848136
2014-10-04T00:00:00Z,8253.020028
2014-10-05T00:00:00Z,20370.9667
2014-10-06T00:00:00Z,7578.315728
2014-10-07T00:00:00Z,3813.6814
2014-10-08T00:00:00Z,11772.01791
2014-10-09T00:00:00Z,13473.41112
2014-10-10T00:00:00Z,5251.978834
2014-10-11T00:00:00Z,939.9107488
2014-10-12T00:00:00Z,1740.06926
2014-10-13T00:00:00Z,2440.900728
2014-10-14T00:00:00Z,7371.511818
2014-10-15T00:00:00Z,2758.985911
2014-10-16T00:00:00Z,766.9399647
2014-10-17T00:00:00Z,648.2426667
2014-10-18T00:00:00Z,1518.143588
2014-10-19T00:00:00Z,81.61420261
2014-10-20T00:00:00Z,884.1200699
2014-10-21T00:00:00Z,573.211289
2014-10-22T00:00:00Z,908.1754031
2014-10-23T00:00:00Z,5690.583856
2014-10-24T00:00:00Z,786.2598364
2014-10-25T00:00:00Z,1379.512397
2014-10-26T00:00:00Z,1286.739049
2014-10-27T00:00:00Z,3241.749474
2014-10-28T00:00:00Z,1247.305058
2014-10-29T00:00:00Z,1690.016877
2014-10-30T00:00:00Z,4176.005335
2014-10-31T00:00:00Z,1552.370086
2014-11-01T00:00:00Z,5009.002886
2014-11-02T00:00:00Z,2076.440161
2014-11-03T00:00:00Z,790.6439742
2014-11-04T00:00:00Z,4345.495934
2014-11-05T00:00:00Z,2862.747612
2014-11-06T00:00:00Z,3116.77175
2014-11-07T00:00:00Z,1537.757082
